Symbol,Issue_Name,Primary_Listing_Mkt
NDEKF,Nitto Denko Corporation Ordinary Shares,U
NDEKY,Nitto Denko Corporation American Depositary Shares,U
NDENF,Central African Gold Inc Ordinary Shares,U
NDES,Natural Destiny Inc. Common Stock,U
NDEV,Novus Acquisition & Development Corp. Common Stock,U
NDGPF,Nine Dragons Paper Holdings Ltd Ordinary Shares (Bermuda),U
NDGPY,Nine Dragons Paper Holdings Ltd Unsponsored ADR (Bermuda),U
NDLS,Noodles & Company Class A Common Stock,NASDAQ
NDMCF,New Destiny Mining Corp Common Shares (Canada),U
NDMLF,NORTHERN DYNASTY MINERALS LTD Warrant   06/10/2021,U
NDMO,Nuveen Dynamic Municipal Opportunities Fund Common Shares of Beneficial Interest,NYSE
NDMT,NOWNEWS DIGITAL MEDIA TECHNOLOGY CO LTD Common Stock,U
NDP,"TORTOISE ENERGY INDEPENDENCE FUND, INC.",NYSE
NDRA,ENDRA Life Sciences Inc. Common Stock,NASDAQ
NDRAW,ENDRA Life Sciences Inc. Warrants,NASDAQ
NDRBF,Nibe Industrier AB Ordinary Shares B (Sweden),U
NDSN,Nordson Corporation Common Stock,NASDAQ
NDTAF,Northern Data AG  INH O N Ordinary Shares Germany Federal Republic(DE ),U
NDTP,"NDT Pharmaceuticals, Inc. Common Stock",U
NDVAF,Indiva Ltd. Ordinary Shares,U
NDVLY,New World Dev Ltd Ord American Depositary Shares,U
NDVN,nDivision Inc. Common Stock,U
NDVR,New Dover Capital Corporation,U
NDWTF,NETDRAGON WEBSOFT HLDGS LTD SHS (Cayman Islands),U
NDWTY,Netdragon Websoft Inc Unsponsored ADR (Cayman Islands),U
NDYN,"Vinings Holdings, Inc. Common Stock",U
NEA,Nuveen AMT-Free Quality Municipal Income Fund,NYSE
NEAPF,Nearmap Ltd Ordinary Shares (Australia),U
NEAR,BlackRock Short Maturity Bond ETF,BATS
NEBC,Nebula Caravel Acquisition Corp. Class A Common Stock,NASDAQ
NEBCU,Nebula Caravel Acquisition Corp. Unit,NASDAQ
NEBCW,Nebula Caravel Acquisition Corp. Warrant,NASDAQ
NECA,New America Energy Corp. Common Stock,U
NECB,"Northeast Community Bancorp, Inc. Common Stock",U
NEE,"Nextra Energy, Inc.",NYSE
NEE PRK,"NextEra Energy Capital Holdings, Inc. Series K Junior Subordinated Debentures due June 1, 2076",NYSE
NEE PRN,"NextEra Energy Capital Holdings, Inc. Series N Junior Subordinated Debentures due March 1, 2079",NYSE
NEE PRO,"NextEra Energy, Inc. 4.872% Corporate Units",NYSE
NEE PRP,"NextEra Energy, Inc. 5.279% Corporate Units",NYSE
NEE PRQ,"NextEra Energy, Inc. 6.219% Corporate Units",NYSE
NEFB,Neffs Bancorp Inc Common Stock,U
NEFBP,Neffs Bancorp Inc PFD SER A,U
NEGG,"Newegg Commerce, Inc. Common Shares",NASDAQ
NEGXF,"Nexgenrx, Inc. Ordinary Shares (Canada)",U
NEIK,"Northstar Electronics, Inc. Common Stock",U
